blockSize,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,51559474,51064582,51698674,49315886,48841661,51636498,50445111,50835240,49801290,49180107,51327857,49960879,50508590,50107526,49337677,51131763,49486431,51173999,51125143,50960991,
2,14164747,12012411,12658934,13545043,11859252,12417428,11739164,13906619,13195699,12793057,12657424,15581203,12993384,11602455,14154614,12265849,11906975,12271343,11524909,12125920,
4,3149993,3253931,3694768,3242803,3821935,3406895,2844479,3958913,4205643,3464932,2976947,3536499,4144041,3318959,3146577,2973371,3000722,3234366,3557584,3360810,
8,1004143,718516,963950,982138,969540,1029331,952843,983203,950418,750356,737580,935048,974128,753702,968200,970137,987123,966642,978961,973946,
16,242265,259701,247404,207343,268979,239064,213201,263667,276972,270543,275136,280724,254641,278381,249521,257158,286277,265053,261383,272922,
32,75426,75489,74552,75191,72590,80655,74967,76881,73376,76313,73098,74897,76571,74205,75496,79782,82898,79610,75589,80880,
64,37867,37036,37386,34861,37440,41418,36073,34694,38452,36654,34478,38440,36980,45524,39674,36362,37294,36637,38001,37201,
128,30606,29454,28798,27664,30080,29611,30244,28664,30684,30684,29860,29867,29930,28884,28597,28565,29722,29145,29200,29060,
256,29225,28021,27226,28311,27190,29264,27733,27685,27913,27627,26747,29191,29539,29332,27056,27529,28060,27149,27520,28061,
512,31483,29589,31701,30417,31598,29387,28619,29861,28607,32163,32199,32736,28166,32786,32436,31744,31016,28743,31056,30777,
1024,39265,46790,37878,49401,40126,49391,49557,49932,49224,37897,49277,49742,49005,37792,38100,48901,49774,50489,48896,38475,
2048,53478,53123,52613,39990,52103,40811,53010,38848,35990,39328,53551,38806,39853,38473,39319,52655,51910,39960,52815,38981,
4096,49654,48993,48332,48107,37170,48497,48684,36511,37660,37221,50214,37618,48783,48473,35008,37349,36805,37283,37403,49523,
